"DATA_GERACAO";"HORA_GERACAO";"ANO_ELEICAO";"NUM_TURNO";"DESCRICAO_ELEICAO";"SIGLA_UF";"SIGLA_UE";"CODIGO_MUNICIPIO";"NOME_MUNICIPIO";"NUMERO_ZONA";"CODIGO_CARGO";"DESCRICAO_CARGO";"QTD_APTOS";"QTD_SECOES";"QTD_SECOES_AGREGADAS";"QTD_APTOS_TOT";"QTD_SECOES_TOT";"QTD_COMPARECIMENTO";"QTD_ABSTENCOES";"QTD_VOTOS_NOMINAIS";"QTD_VOTOS_BRANCOS";"QTD_VOTOS_NULOS";"QTD_VOTOS_LEGENDA";"QTD_VOTOS_ANULADOS_APU_SEP";"DATA_ULT_TOTALIZACAO";"HORA_ULT_TOTALIZACAO";"TRANSITO";"QTD_VOTOS_ANULADOS"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"259";"11";"PREFEITO";"151207";"419";"14";"151207";"419";"115441";"35766";"103946";"3054";"8441";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"259";"13";"VEREADOR";"151207";"419";"14";"151207";"419";"115441";"35766";"77795";"7714";"12160";"17772";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"20";"13";"VEREADOR";"146265";"411";"2";"146265";"411";"115744";"30521";"71843";"14483";"14825";"14593";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"20";"11";"PREFEITO";"146265";"411";"2";"146265";"411";"115744";"30521";"93142";"8407";"14195";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"248";"13";"VEREADOR";"154398";"410";"0";"154398";"410";"123189";"31209";"76877";"13059";"19113";"14140";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"248";"11";"PREFEITO";"154398";"410";"0";"154398";"410";"123189";"31209";"97190";"8124";"17875";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"249";"13";"VEREADOR";"119577";"363";"0";"119577";"363";"90257";"29320";"58294";"6537";"11055";"14371";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"249";"11";"PREFEITO";"119577";"363";"0";"119577";"363";"90257";"29320";"79566";"2773";"7918";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"349";"13";"VEREADOR";"126642";"356";"1";"126642";"356";"97125";"29517";"60969";"9486";"13727";"12943";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"349";"11";"PREFEITO";"126642";"356";"1";"126642";"356";"97125";"29517";"81279";"4902";"10944";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"350";"13";"VEREADOR";"135962";"370";"0";"135962";"370";"107375";"28587";"65825";"10865";"16418";"14267";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"350";"11";"PREFEITO";"135962";"370";"0";"135962";"370";"107375";"28587";"86781";"6146";"14448";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"420";"13";"VEREADOR";"123422";"359";"1";"123422";"359";"95892";"27530";"61747";"8800";"12935";"12410";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"420";"11";"PREFEITO";"123422";"359";"1";"123422";"359";"95892";"27530";"79423";"4886";"11583";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"421";"13";"VEREADOR";"137692";"379";"2";"137692";"379";"110840";"26852";"68813";"11784";"16388";"13855";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"421";"11";"PREFEITO";"137692";"379";"2";"137692";"379";"110840";"26852";"88583";"6954";"15303";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"422";"13";"VEREADOR";"135795";"373";"1";"135795";"373";"107494";"28301";"67190";"10619";"15727";"13958";"0";"02/10/2016";"21:53:43";"N";"0"
