"DATA_GERACAO";"HORA_GERACAO";"ANO_ELEICAO";"NUM_TURNO";"DESCRICAO_ELEICAO";"SIGLA_UF";"SIGLA_UE";"CODIGO_MUNICIPIO";"NOME_MUNICIPIO";"NUMERO_ZONA";"CODIGO_CARGO";"NUMERO_CAND";"SQ_CANDIDATO";"NOME_CANDIDATO";"NOME_URNA_CANDIDATO";"DESCRICAO_CARGO";"COD_SIT_CAND_SUPERIOR";"DESC_SIT_CAND_SUPERIOR";"CODIGO_SIT_CANDIDATO";"DESC_SIT_CANDIDATO";"CODIGO_SIT_CAND_TOT";"DESC_SIT_CAND_TOT";"NUMERO_PARTIDO";"SIGLA_PARTIDO";"NOME_PARTIDO";"SEQUENCIAL_LEGENDA";"NOME_COLIGACAO";"COMPOSICAO_LEGENDA";"TOTAL_VOTOS";"TRANSITO"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"45";"250000004975";"JOÃO AGRIPINO DA COSTA DORIA JUNIOR";"JOÃO DORIA";"PREFEITO";"12";"APTO";"Deferido com recurso";"DEFERIDO COM RECURSO";"1";"ELEITO";"45";"PSDB";"Partido da Social Democracia Brasileira";"250000000273";"ACELERA SP";"PSDB / PPS / PV / PSB / DEM / PMB / PHS / PP / PSL / PT do B / PRP / PTC / PTN";"58655";"N"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"10";"250000008377";"CELSO UBIRAJARA RUSSOMANNO";"CELSO RUSSOMANNO";"PREFEITO";"12";"APTO";"Deferido";"DEFERIDO";"4";"NÃO ELEITO";"10";"PRB";"Partido Republicano Brasileiro";"250000000485";"'SÃO PAULO SABE, A GENTE RESOLVE'";"PRB / PSC / PTB / PEN";"8827";"N"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"13";"250000011576";"FERNANDO HADDAD";"FERNANDO HADDAD";"PREFEITO";"12";"APTO";"Deferido";"DEFERIDO";"4";"NÃO ELEITO";"13";"PT";"Partido dos Trabalhadores";"250000000693";"MAIS SÃO PAULO";"PT / PC do B / PR / PDT / PROS";"23306";"N"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"28";"250000013973";"JOSE LEVY FIDELIX DA CRUZ";"LEVY FIDELIX";"PREFEITO";"12";"APTO";"Deferido";"DEFERIDO";"4";"NÃO ELEITO";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"250000000858";"PARTIDO ISOLADO";"PRTB";"265";"N"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"50";"250000014858";"LUIZA ERUNDINA DE SOUSA";"LUIZA ERUNDINA";"PREFEITO";"12";"APTO";"Deferido";"DEFERIDO";"4";"NÃO ELEITO";"50";"PSOL";"Partido Socialismo e Liberdade";"250000000904";"OS SONHOS PODEM GOVERNAR";"PSOL / PCB";"3434";"N"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"18";"250000015112";"RICARDO YOUNG SILVA";"RICARDO YOUNG";"PREFEITO";"12";"APTO";"Deferido";"DEFERIDO";"4";"NÃO ELEITO";"18";"REDE";"Rede Sustentabilidade";"250000000917";"PARTIDO ISOLADO";"REDE";"732";"N"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"15";"250000020809";"MARTA TERESA SUPLICY";"MARTA";"PREFEITO";"12";"APTO";"Deferido";"DEFERIDO";"4";"NÃO ELEITO";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"250000001252";"UNIÃO POR SÃO PAULO";"PMDB / PSD";"5662";"N"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"16";"250000024354";"ALTINO DE MELO PRAZERES JÚNIOR";"ALTINO";"PREFEITO";"12";"APTO";"Deferido";"DEFERIDO";"4";"NÃO ELEITO";"16";"PSTU";"Partido Socialista dos Trabalhadores Unificado";"250000001476";"PARTIDO ISOLADO";"PSTU";"107";"N"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"27";"250000038323";"JOÃO BICO DE SOUZA";"JOÃO BICO";"PREFEITO";"12";"APTO";"Deferido";"DEFERIDO";"4";"NÃO ELEITO";"27";"PSDC";"Partido Social Democrata Cristão";"250000002349";"PARTIDO ISOLADO";"PSDC";"120";"N"
"21/10/2016";"13:55:06";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"1";"11";"77";"250000040588";"SERGIO OLIMPIO GOMES";"MAJOR OLIMPIO";"PREFEITO";"12";"APTO";"Deferido";"DEFERIDO";"4";"NÃO ELEITO";"77";"SD";"Solidariedade";"250000002469";"PARTIDO ISOLADO";"SD";"1329";"N"
