"PERIODO";"UF";"MUNICIPIO";"COD_MUNICIPIO_TSE";"NR_ZONA";"SEXO";"FAIXA_ETARIA";"GRAU_DE_ESCOLARIDADE";"QTD_ELEITORES_NO_PERFIL";"PERIODO0"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"16 ANOS";"ENSINO FUNDAMENTAL COMPLETO";"1";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"16 ANOS";"ENSINO FUNDAMENTAL INCOMPLETO";"6";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"16 ANOS";"ENSINO MÉDIO INCOMPLETO";"47";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"17 ANOS";"ENSINO FUNDAMENTAL COMPLETO";"5";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"17 ANOS";"ENSINO FUNDAMENTAL INCOMPLETO";"10";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"17 ANOS";"ENSINO MÉDIO COMPLETO";"25";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"17 ANOS";"ENSINO MÉDIO INCOMPLETO";"156";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"17 ANOS";"SUPERIOR INCOMPLETO";"5";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"18 A 20 ANOS";"ENSINO FUNDAMENTAL COMPLETO";"51";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"18 A 20 ANOS";"ENSINO FUNDAMENTAL INCOMPLETO";"103";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"18 A 20 ANOS";"ENSINO MÉDIO COMPLETO";"763";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"18 A 20 ANOS";"ENSINO MÉDIO INCOMPLETO";"774";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"18 A 20 ANOS";"SUPERIOR COMPLETO";"2";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"18 A 20 ANOS";"SUPERIOR INCOMPLETO";"326";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"21 A 24 ANOS";"ANALFABETO";"3";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"21 A 24 ANOS";"ENSINO FUNDAMENTAL COMPLETO";"115";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"21 A 24 ANOS";"ENSINO FUNDAMENTAL INCOMPLETO";"233";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"21 A 24 ANOS";"ENSINO MÉDIO COMPLETO";"1201";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"21 A 24 ANOS";"ENSINO MÉDIO INCOMPLETO";"1225";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"21 A 24 ANOS";"LÊ E ESCREVE";"2";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"21 A 24 ANOS";"SUPERIOR COMPLETO";"98";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"21 A 24 ANOS";"SUPERIOR INCOMPLETO";"699";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"25 A 34 ANOS";"ANALFABETO";"23";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"25 A 34 ANOS";"ENSINO FUNDAMENTAL COMPLETO";"521";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"25 A 34 ANOS";"ENSINO FUNDAMENTAL INCOMPLETO";"1188";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"25 A 34 ANOS";"ENSINO MÉDIO COMPLETO";"3844";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"25 A 34 ANOS";"ENSINO MÉDIO INCOMPLETO";"3457";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"25 A 34 ANOS";"LÊ E ESCREVE";"58";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"25 A 34 ANOS";"SUPERIOR COMPLETO";"2609";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"25 A 34 ANOS";"SUPERIOR INCOMPLETO";"1856";"2016090"
"201609";"SP";"SÃO PAULO";"71072";"1";"FEMININO";"35 A 44 ANOS";"ANALFABETO";"93";"2016090"
